2026-04-05 02:27:34.354 +07:00 [INF] Đơn hàng mới: 73335A64 - Tour: Thái Lan: Nghỉ dưỡng Pattaya biển xanh - Khách: Quản trị viên
2026-04-05 02:27:34.364 +07:00 [INF] HTTP POST /Tour/Book/76 responded 302 in 1609.2757 ms
2026-04-05 02:27:34.609 +07:00 [INF] Tạo VNPay URL cho đơn hàng 3, số tiền: 41940000
2026-04-05 02:27:34.614 +07:00 [INF] Redirect khách Quản trị viên đến VNPay cho đơn 73335A64
2026-04-05 02:27:34.618 +07:00 [INF] HTTP GET /VnPay/CreatePayment responded 302 in 241.2284 ms
2026-04-05 02:30:54.263 +07:00 [INF] HTTP GET /Tour/Book/76 responded 200 in 50.7838 ms
2026-04-05 02:31:02.595 +07:00 [INF] Đơn hàng mới: E10C7088 - Tour: Thái Lan: Nghỉ dưỡng Pattaya biển xanh - Khách: Quản trị viên
2026-04-05 02:31:02.600 +07:00 [INF] HTTP POST /Tour/Book/76 responded 302 in 43.4634 ms
2026-04-05 02:31:02.649 +07:00 [INF] Tạo VNPay URL cho đơn hàng 4, số tiền: 45435000
2026-04-05 02:31:02.652 +07:00 [INF] Redirect khách Quản trị viên đến VNPay cho đơn E10C7088
2026-04-05 02:31:02.662 +07:00 [INF] HTTP GET /VnPay/CreatePayment responded 302 in 46.2624 ms
2026-04-05 02:31:07.825 +07:00 [INF] Đơn hàng mới: D9F9885D - Tour: Thái Lan: Nghỉ dưỡng Pattaya biển xanh - Khách: Quản trị viên
2026-04-05 02:31:07.831 +07:00 [INF] HTTP POST /Tour/Book/76 responded 302 in 25.9826 ms
2026-04-05 02:31:07.860 +07:00 [INF] Tạo VNPay URL cho đơn hàng 5, số tiền: 45435000
2026-04-05 02:31:07.873 +07:00 [INF] Redirect khách Quản trị viên đến VNPay cho đơn D9F9885D
2026-04-05 02:31:07.887 +07:00 [INF] HTTP GET /VnPay/CreatePayment responded 302 in 36.4879 ms
2026-04-05 02:37:00.374 +07:00 [INF] HTTP GET /Tour/Book/76 responded 200 in 55.4851 ms
2026-04-05 02:37:00.454 +07:00 [INF] HTTP GET /css/site.css responded 200 in 5.4878 ms
2026-04-05 02:37:00.482 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 64.9779 ms
2026-04-05 02:37:00.510 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 5.2336 ms
2026-04-05 02:37:00.521 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 3.8726 ms
2026-04-05 02:37:00.549 +07:00 [INF] HTTP GET /js/site.js responded 200 in 9.9491 ms
2026-04-05 02:37:00.598 +07:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js responded 200 in 3.7886 ms
2026-04-05 02:37:00.598 +07:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/dist/jquery.validate.unobtrusive.min.js responded 200 in 3.4568 ms
2026-04-05 02:37:00.713 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 4.4551 ms
2026-04-05 02:37:00.768 +07:00 [INF] HTTP GET /favicon.ico responded 200 in 3.2036 ms
2026-04-05 02:37:02.695 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 0.7575 ms
2026-04-05 02:37:02.697 +07:00 [INF] HTTP GET /images/tours/tl3.jpg responded 404 in 0.9761 ms
2026-04-05 02:37:02.701 +07:00 [INF] HTTP GET /css/site.css responded 200 in 7.1724 ms
2026-04-05 02:37:02.705 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 10.0686 ms
2026-04-05 02:37:02.953 +07:00 [INF] HTTP GET /images/tours/jp1.jpg responded 404 in 1.0028 ms
2026-04-05 02:37:02.959 +07:00 [INF] HTTP GET / responded 200 in 599.7526 ms
2026-04-05 02:37:03.313 +07:00 [INF] HTTP GET /images/hinh-nen-viet-nam-4k25.jpg responded 304 in 1.3370 ms
2026-04-05 02:37:03.322 +07:00 [INF] HTTP GET /images/tours/kr1.jpg responded 404 in 0.8045 ms
2026-04-05 02:37:03.330 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 11.0419 ms
2026-04-05 02:37:03.333 +07:00 [INF] HTTP GET /images/tours/jp3.jpg responded 404 in 0.9199 ms
2026-04-05 02:37:03.353 +07:00 [INF] HTTP GET /js/site.js responded 200 in 5.1067 ms
2026-04-05 02:37:03.374 +07:00 [INF] HTTP GET /images/tours/kr3.jpg responded 404 in 5.5182 ms
2026-04-05 02:37:03.389 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 8.2117 ms
2026-04-05 02:37:04.860 +07:00 [INF] Tìm kiếm tour với keyword: null, CategoryId: null
2026-04-05 02:37:05.039 +07:00 [INF] Tìm thấy 100 tour phù hợp
2026-04-05 02:37:05.134 +07:00 [INF] HTTP GET /Tour responded 200 in 470.9705 ms
2026-04-05 02:37:05.152 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 1.2500 ms
2026-04-05 02:37:05.153 +07:00 [INF] HTTP GET /images/tours/tl3.jpg responded 404 in 0.7353 ms
2026-04-05 02:37:05.155 +07:00 [INF] HTTP GET /css/site.css responded 200 in 4.2334 ms
2026-04-05 02:37:05.158 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 7.8864 ms
2026-04-05 02:37:05.160 +07:00 [INF] HTTP GET /images/tours/jp1.jpg responded 404 in 0.8373 ms
2026-04-05 02:37:05.160 +07:00 [INF] HTTP GET /images/tours/jp3.jpg responded 404 in 0.7990 ms
2026-04-05 02:37:05.193 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 24.7162 ms
2026-04-05 02:37:05.204 +07:00 [INF] HTTP GET /images/tours/kr3.jpg responded 404 in 2.3286 ms
2026-04-05 02:37:05.221 +07:00 [INF] HTTP GET /images/tours/kr1.jpg responded 404 in 0.9515 ms
2026-04-05 02:37:05.287 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 16.6484 ms
2026-04-05 02:37:05.304 +07:00 [INF] HTTP GET /images/tours/sg3.jpg responded 404 in 0.9482 ms
2026-04-05 02:37:05.311 +07:00 [INF] HTTP GET /images/tours/fr1.jpg responded 404 in 0.9851 ms
2026-04-05 02:37:05.316 +07:00 [INF] HTTP GET /js/site.js responded 200 in 4.4189 ms
2026-04-05 02:37:05.353 +07:00 [INF] HTTP GET /images/tours/sg1.jpg responded 404 in 1.0470 ms
2026-04-05 02:37:35.426 +07:00 [INF] Seed dữ liệu ban đầu thành công
